network,State,Station_ID,Site_ID,Site_Name,Latitude,Longitude,Elevation_ft,Elevation_m
SNTL    ,CA,20H13S ,301,ADIN MTN,41.23583,-120.79192,6190,1887
SNTL    ,UT,12M26S ,907,AGUA CANYON,37.52232,-112.27118,8900,2713
SNTL    ,MT,11D28S ,916,ALBRO LAKE,45.5971,-111.95917,8300,2530
SNTL    ,WA,21B48S ,908,ALPINE MEADOWS,47.77957,-121.69847,3500,1067
SNTL    ,NV,15J17S ,1198,AMERICAN BEAUTY,40.5337,-115.4576,7800,2377
SNTL    ,AK,41P07S ,1189,AMERICAN CREEK,64.78969,-141.23376,1050,320
SNTL    ,AK,51K05S ,1062,ANCHOR RIVER DIVIDE,59.85972,-151.315,1653,504
SNTL    ,AK,49M22S ,1070,ANCHORAGE HILLSIDE,61.11483,-149.66683,2080,634
SNTL    ,OR,17D02S ,302,ANEROID LAKE #2,45.21328,-117.19258,7400,2256
SNTL    ,OR,22G06S ,1000,ANNIE SPRINGS,42.87007,-122.16518,6010,1832
SNTL    ,CO,05M07S ,303,APISHAPA,37.33062,-105.06749,10000,3048
SNTL    ,CO,06J08S ,1030,ARAPAHO RIDGE,40.35098,-106.38142,10960,3341
SNTL    ,OR,19D02S ,304,ARBUCKLE MTN,45.19085,-119.25392,5770,1759
SNTL    ,CO,05K06S ,305,ARROW,39.9155,-105.76083,9680,2950
SNTL    ,MT,14A19S ,1165,ASHLEY DIVIDE,48.20178,-114.515,4820,1469
SNTL    ,AK,49T03S ,957,ATIGUN PASS,68.12983,-149.47817,4800,1463
SNTL    ,ID,15F04S ,306,ATLANTA SUMMIT,43.7569,-115.23907,7580,2310
SNTL    ,MT,13A15S ,307,BADGER PASS,48.13088,-113.02317,6900,2103
SNTL    ,AZ,11R06S ,308,BAKER BUTTE,34.4566,-111.40643,7300,2225
SNTL    ,AZ,11R07S ,1140,BAKER BUTTE SMT,34.45547,-111.38272,7700,2347
SNTL    ,WY,07E21S ,309,BALD MTN.,44.8007,-107.84442,9380,2859
SNTL    ,AZ,09S01S ,310,BALDY,33.97883,-109.50344,9125,2781
SNTL    ,MT,15A08S ,311,BANFIELD MOUNTAIN,48.5712,-115.44573,5600,1707
SNTL    ,ID,15E11S ,312,BANNER SUMMIT,44.30342,-115.23447,7040,2146
SNTL    ,MT,13C44S ,313,BARKER LAKES,46.09713,-113.13038,8250,2515
SNTL    ,WY,10F02S ,314,BASE CAMP,43.94583,-110.44677,7030,2143
SNTL    ,MT,12D09S ,315,BASIN CREEK,45.79737,-112.52047,7180,2188
SNTL    ,MT,14B03S ,1190,BASSOO PEAK,47.85573,-114.76387,5150,1570
SNTL    ,NM,06N04S ,316,BATEMAN,36.51216,-106.32129,9300,2835
SNTL    ,WY,07H04S ,317,BATTLE MOUNTAIN,41.05413,-107.26609,7440,2268
SNTL    ,MT,12E08S ,318,BEAGLE SPRINGS,44.47157,-112.98195,8850,2697
SNTL    ,ID,16E11S ,319,BEAR BASIN,44.95222,-116.14293,5350,1631
SNTL    ,ID,13F03S ,320,BEAR CANYON,43.74367,-113.93797,7900,2408
SNTL    ,NV,15H01S ,321,BEAR CREEK,41.83417,-115.45222,8040,2451
SNTL    ,OR,22E10S ,1166,BEAR GRASS,44.3253,-122.0878,4720,1439
SNTL    ,CO,05J39S ,322,BEAR LAKE,40.31118,-105.64483,9500,2896
SNTL    ,ID,16A08S ,323,BEAR MOUNTAIN,48.30577,-116.07448,5400,1646
